referencia,Alto Uruguai Catarinense,Alto Vale do Itajaí,Alto Vale do Rio do Peixe,Carbonífera,Extremo Oeste,Extremo Sul Catarinense,Foz do Rio Itajaí,Grande Florianópolis,Laguna,Meio Oeste,Médio Vale do Itajaí,Nordeste,Oeste,Planalto Norte,Serra Catarinense,Xanxerê
201305,,,,0.0024296376924273053,,,,,,,,,,,,
201307,,,,0.0,,,,,,,,,,,,
201308,,,,0.0,,,,0.008247483143060843,,,0.0,0.0,,,,
201309,,0.0035422932097781464,,0.0048592753848546106,,,0.0032455730383756554,,,,0.0,,,,,
201310,,0.0,,0.017007463846991137,,,0.051929168614010486,,,,0.0,0.0010671310821136026,,0.010899717152339896,,
201311,,,,0.031585290001554966,,,0.18499766318741234,,0.03136235206235976,,,0.0,,0.010899717152339896,,
201312,,,,0.026726014616700357,,,0.11684062938152359,,,,,0.0,,,,0.0
201401,,0.0,0.01046904825882279,0.01681483741253282,,,0.17215808850821068,0.0008995216343948288,,,0.038264696034820876,0.008377744103900783,,0.010832417091387686,,0.0
201402,,,,0.028825435564341976,,,0.20532616060612283,,,,0.02459873316524199,0.07121082488315665,,0.010832417091387686,,0.0
201403,,,,0.05044451223759846,,,0.1974290005828104,0.006296651440763802,,,0.036898099747862984,0.09006074911693342,,0.03249725127416306,,
201404,,,,0.1153017422573679,,,0.1516254724475984,0.10254546632101048,,,0.031431714600031434,0.0952968391818714,0.0,0.09478364954964226,,
201405,,,,0.055248751498322125,,,0.08844819226109907,0.13852633169680365,,,0.009566174008705219,0.08377744103900783,,0.046037772638397666,0.0068894721975349465,
201406,,0.024554941682013505,0.0,0.1153017422573679,,,0.05370068815852443,0.2545646225337366,,,0.030065118313073545,0.16022435598710247,,0.14623763073373378,,0.03561615956039483
201407,,0.042094185740594585,0.0348968275294093,0.2306034845147358,,,1.1103406992777258,0.36970339173627464,0.0056498930757735415,0.021342211693397787,0.17765751730452548,0.20630194855855677,,0.41163184947273207,0.03100262488890726,0.040704182354736954
201408,,0.03858633692887837,0.04187619303529116,0.11049750299664425,,,0.9397620427741775,0.38229669461780225,,0.010671105846698893,0.3853801529221245,0.16127157400009007,0.0,0.46037772638397667,0.08611840246918684,0.015264068383026356
201409,,0.017539244058581076,0.04536587578823209,0.12010598151809157,,,1.124555587319688,0.2284784951362865,,0.0,0.29791799055681967,0.1539410479091769,,0.40621564092703827,0.2445762630124906,
201410,,0.01403139524686486,0.09771111708234603,0.03122755519470381,,,0.9397620427741775,0.37330147827385396,0.0,0.005335552923349447,0.009566174008705219,0.12985503361046213,,0.1245727965509584,0.09300787466672178,
201411,,,0.0,0.048042392607236625,,,0.562277793659844,0.15111963457833125,,0.0,0.0,0.12357172553253655,0.03471539164747677,0.27622663583038604,0.09645261076548925,0.025440113971710594
201412,0.014077071969030443,,0.04187619303529116,0.09608478521447325,,,0.3869608411423084,0.17540671870699162,,,0.09019535493922062,0.0973912752078466,0.09836027633451751,0.1516538392794276,0.06544998587658199,0.03052813676605271
201501,3.1713066906151774,0.0,0.062401414432060466,0.05701145930331997,,0.0,0.23542155845994295,0.13074424394049017,0.0,0.13258730874280714,0.17451351003049959,0.2755597049454741,0.011436871329479108,0.14265527218895097,0.10684607616401906,0.020242095461722197
201502,2.7713852716659186,0.006948763293852776,0.013866980984902326,0.0,,0.0,0.3523629861916793,0.16873074724752446,0.027995207220523847,0.30760255628331257,0.25640061858327245,0.29406744632240894,0.02001452482658844,0.47910638584213716,0.12752596187318405,0.020242095461722197
201503,2.666142792995061,0.010423144940779163,0.062401414432060466,0.0,0.07369132869800427,0.21585174069010885,0.5631652967080988,0.24382034680794112,0.05878993516310008,0.20153270928906683,0.3382877271360454,0.48634231507167636,0.02859217832369777,0.7240427965816567,0.2343720380372031,0.16699728755920812
201504,1.2699259092950157,0.03821819811619027,0.2218716957584372,,0.117039169108595,0.16959779625651408,0.4723818199163561,0.2650221160955882,0.07838658021746676,0.22805017103762826,0.19733450749602646,0.45755249515199997,0.20872290176299374,0.7940246282215194,0.27917845707372724,0.07084733411602769
201505,2.301302200269421,0.27100176846025825,1.216827581425179,0.033256684593603314,0.3207740190383715,0.3340562653537399,1.014005274673872,0.3489457861925244,0.22676117848624314,0.37124446447986,0.45105030284806047,0.5973887633332853,0.31737317939304527,0.9043805934997645,0.8892350854940941,0.28338933646411074
201506,1.6979119892231702,0.8963904649070081,1.3485639007817511,3.1261283517987115,0.6545523901999202,0.8171530183268406,1.9972364894183394,0.7500125885505146,3.0542771077591517,0.7159714672111586,1.0041238884831822,0.8842587546757752,0.294499436734087,2.8557970526882444,4.28762963703354,1.067770535605846
201507,1.0664571171980244,1.1743409966611191,0.2600058934669186,3.0691168924953915,0.8712915922528739,0.9353575429904717,1.4956193125690493,1.1166265158160782,2.4775758390163602,0.9652356076476359,0.9947270071738477,0.9521204730578695,0.24589273358380082,2.5866361617656954,6.100566284203669,1.437188777782276
201508,2.483722496632241,1.226456721365015,0.3848087223310395,2.6296535603656332,1.1270438506753593,1.2385778453884817,2.0787877482312607,0.5335778604057841,2.779924076998018,0.9599321152979237,1.072586880879763,1.0631669213194785,0.38027597170518035,3.639055245272862,2.4609063993906326,1.4979150641674426
201509,1.9504939380332287,1.1604434700734136,1.3381636650430744,2.7246726592045,0.6285436859535658,2.230467987131125,2.0541685002877372,0.9576132461587252,2.5167691291250938,1.2569276868818116,1.1222561106576743,1.3880806032701123,0.3431061398843733,3.614830765089833,5.19065131300041,1.3612809198008178
