Cidade,2014,2015,2016,2017,2018,2019,2020,2021
Pescaria Brava (SC),9761,9835,9908,9980,10022,10091,10159,10225
Petrolândia (SC),6110,6080,6051,6021,5971,5937,5905,5873
Balneário Piçarras (SC),19976,20617,21253,21884,22511,23147,23772,24385
Pinhalzinho (SC),18284,18696,19105,19511,19906,20313,20712,21103
Pinheiro Preto (SC),3353,3396,3438,3480,3513,3555,3596,3635
Piratuba (SC),4424,4316,4209,4102,3965,3854,3745,3637
Planalto Alegre (SC),2782,2803,2823,2844,2850,2870,2888,2907
Pomerode (SC),30598,31181,31760,32334,32874,33447,34010,34561
Ponte Alta (SC),4855,4825,4796,4767,4714,4682,4650,4619
Ponte Alta do Norte (SC),3389,3397,3405,3413,3408,3414,3420,3426
Ponte Serrada (SC),11405,11452,11499,11545,11552,11593,11634,11674
Porto Belo (SC),18630,19189,19744,20294,20834,21388,21932,22466
Porto União (SC),34717,34882,35045,35207,35250,35398,35543,35685
Pouso Redondo (SC),16154,16424,16692,16957,17189,17453,17712,17965
Praia Grande (SC),7374,7370,7367,7364,7326,7319,7312,7305
Presidente Castello Branco (SC),1670,1650,1630,1610,1590,1568,1547,1526
Presidente Getúlio (SC),16210,16474,16736,16996,17215,17471,17726,17973
Presidente Nereu (SC),2312,2309,2306,2304,2290,2287,2283,2279
Princesa (SC),2862,2877,2891,2906,2911,2924,2937,2950
Quilombo (SC),10201,10149,10096,10044,9946,9887,9829,9773
Rancho Queimado (SC),2838,2849,2860,2871,2868,2878,2887,2897
Rio das Antas (SC),6245,6246,6246,6246,6208,6205,6202,6199
Rio do Campo (SC),6149,6113,6078,6043,5979,5940,5902,5864
Rio do Oeste (SC),7355,7392,7428,7463,7456,7489,7520,7552
Rio dos Cedros (SC),11019,11157,11295,11431,11542,11676,11808,11937
Rio do Sul (SC),66251,67237,68217,69188,70100,71061,72006,72931
Rio Fortuna (SC),4569,4582,4594,4606,4601,4611,4620,4630
Rio Negrinho (SC),41386,41602,41817,42029,42106,42302,42495,42684
Rio Rufino (SC),2484,2485,2487,2489,2482,2483,2483,2484
Riqueza (SC),4775,4740,4705,4670,4636,4598,4561,4525
Rodeio (SC),11325,11380,11434,11488,11502,11551,11600,11647
Romelândia (SC),5320,5220,5120,5022,4890,4786,4684,4584
Salete (SC),7573,7594,7614,7634,7626,7642,7659,7674
Saltinho (SC),3923,3897,3872,3847,3808,3781,3754,3727
Salto Veloso (SC),4536,4576,4616,4655,4680,4718,4756,4792
Sangão (SC),11532,11767,12001,12233,12446,12678,12905,13128
