Ibge,ano,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero
421520,2018,27,82,33,185,78,37,52,515,0,0,1,11
421520,2019,25,249,38,434,103,42,79,701,0,0,5,49
421520,2020,25,185,10,313,116,67,95,823,7,0,36,130
421520,2021,31,887,12,1815,327,55,142,878,2,0,93,248
421520,2022,6,84,1,577,26,3,24,150,0,0,6,59
421530,2014,0,0,0,2,2,0,2,0,0,0,0,0
421530,2015,20,141,44,613,34,11,7,289,0,0,6,0
421530,2016,128,1092,357,4215,528,290,54,2681,2,9,118,401
421530,2017,97,945,263,3042,1117,260,74,2792,0,0,744,1189
421530,2018,113,1262,306,4030,2270,1088,274,4802,0,12,520,1184
421530,2019,180,1502,542,4487,2525,986,210,6850,3,8,491,1009
421530,2020,50,496,78,1198,811,145,37,1111,1,5,9,7
421530,2021,53,1423,124,4233,1006,216,68,1908,0,0,33,331
421530,2022,1,118,27,553,122,26,12,274,0,0,2,74
421535,2016,6,174,1,1098,490,41,0,18,0,0,1,1
421535,2017,36,129,81,353,211,91,24,656,2,0,1,4
421535,2018,37,305,86,689,518,131,25,671,2,0,146,149
421535,2019,28,298,57,611,453,92,34,598,4,3,173,172
421535,2020,31,230,55,499,522,67,34,583,5,1,31,134
421535,2021,54,256,71,567,512,62,20,710,7,0,20,54
421535,2022,9,31,8,79,73,13,4,155,3,0,5,3
421540,2014,18,75,36,162,31,11,4,72,0,0,0,47
421540,2015,4,155,50,308,24,24,12,270,0,0,0,15
421540,2016,35,220,48,399,34,9,11,812,0,0,3,8
421540,2017,8,153,35,307,26,5,13,681,0,0,0,6
421540,2018,72,243,39,347,33,5,16,897,1,4,0,0
421540,2019,37,191,20,342,36,5,21,1484,0,2,4,13
421540,2020,10,82,11,154,24,0,24,1137,0,0,1,2
421540,2021,48,211,41,604,204,3,16,962,0,0,3,82
421540,2022,3,39,20,111,9,0,3,108,0,0,0,33
421545,2015,0,11,0,4,0,0,0,13,0,0,0,0
421545,2016,39,75,2,120,8,4,3,167,0,2,0,1
421545,2017,73,218,13,430,17,56,0,361,0,4,44,31
421545,2018,64,331,26,1273,25,84,19,5168,0,3,116,92
421545,2019,45,147,16,401,17,34,22,2694,0,1,93,56
421545,2020,21,333,10,432,19,14,30,2024,0,1,44,17
421545,2021,114,4700,21,11524,110,77,52,4006,1,8,223,245
421545,2022,22,1301,4,3213,30,19,7,1181,0,7,26,25
421550,2014,0,3,0,4,2,10,0,1,0,0,0,7
421550,2015,3,38,0,162,1,0,0,146,0,0,0,7
421550,2016,79,440,77,1097,30,2,20,1655,0,6,142,167
421550,2017,46,347,21,975,31,23,14,978,0,1,55,50
421550,2018,84,470,18,1209,13,6,14,1141,0,0,152,130
421550,2019,21,411,11,831,16,4,3,432,0,0,17,9
421550,2020,24,384,7,632,22,16,2,520,0,2,44,1
421550,2021,11,105,5,164,13,3,0,239,0,0,0,12
421550,2022,1,13,4,19,3,1,0,25,0,0,1,0
421555,2015,5,91,15,173,52,20,18,352,0,0,30,75
421555,2016,29,343,85,1070,601,59,17,2405,0,0,78,114
421555,2017,42,315,101,1081,205,35,29,1389,2,4,177,232
421555,2018,9,57,55,188,11,50,60,721,0,0,14,13
421555,2019,14,123,31,228,80,15,85,793,0,0,3,3
421555,2020,16,206,25,266,132,8,83,493,0,0,3,1
421555,2021,10,194,20,323,285,23,47,616,0,0,0,0
421555,2022,2,40,5,81,37,0,8,82,0,0,0,0
421560,2015,7,8,3,31,93,7,0,360,0,1,0,8
421560,2016,19,51,19,133,166,15,2,815,0,2,0,3
421560,2017,4,42,5,60,152,6,3,690,0,1,0,18
421560,2018,5,122,3,186,175,31,3,331,0,5,2,5
421560,2019,6,52,7,116,327,18,2,647,0,0,0,4
421560,2020,6,50,6,133,97,27,10,401,0,1,0,0
421560,2021,5,181,7,236,156,18,8,841,0,0,1,2
421560,2022,3,15,0,67,36,1,0,73,0,0,0,0
421565,2015,49,359,21,1137,8,1,10,1606,0,1,146,328
421565,2016,114,952,76,3870,21,23,15,5199,0,2,114,381
421565,2017,53,302,18,1313,4,43,22,1204,0,2,39,50
421565,2018,95,555,61,1708,27,68,28,1890,2,3,116,440
421565,2019,90,745,78,1707,87,128,11,1908,0,9,284,1447
421565,2020,37,513,58,661,61,39,10,2278,0,1,62,470
421565,2021,85,440,52,634,155,24,16,4203,0,2,156,474
421565,2022,11,88,4,128,42,3,1,600,0,2,16,15
421567,2016,1,3,0,7,0,0,0,2,0,0,1,7
421567,2017,28,61,9,127,7,2,9,100,2,3,70,129
421567,2018,3,20,6,78,2,1,1,45,1,1,19,50
421567,2019,20,56,7,144,32,29,5,410,1,0,2,7
421567,2020,25,149,25,441,14,13,23,847,0,1,49,144
421567,2021,29,493,26,1857,158,150,76,2470,0,0,129,630
421567,2022,0,26,4,117,6,9,2,88,0,0,6,32
421568,2015,0,0,3,8,0,0,0,10,0,0,1,0
421568,2016,3,36,44,214,21,2,5,330,0,0,3,2
421568,2017,68,257,33,669,146,108,66,655,0,0,147,46
421568,2018,48,312,51,485,93,94,114,1029,0,7,154,23
421568,2019,67,478,144,467,230,94,131,1014,2,16,113,16
421568,2020,27,186,90,633,125,25,77,866,3,0,25,2
421568,2021,25,148,34,699,99,6,40,1019,3,0,3,2
421568,2022,0,16,3,124,12,0,13,161,0,0,0,0
421569,2016,2,10,2,17,117,9,0,587,0,0,16,42
421569,2017,5,16,1,165,55,19,7,306,2,0,65,66
421569,2018,24,19,6,258,123,10,14,498,0,0,105,97
421569,2019,12,48,8,154,81,6,27,385,0,0,60,67
421569,2020,7,105,10,185,101,9,4,289,0,0,3,4
421569,2021,46,228,11,707,128,7,14,542,0,0,5,2
421569,2022,1,15,1,39,30,0,1,38,0,0,1,0
421570,2014,123,929,127,2370,482,85,51,1448,0,33,358,469
421570,2015,151,1141,125,2701,416,229,55,1018,0,6,38,62
421570,2016,150,607,73,1217,247,59,29,932,3,4,11,11
421570,2017,163,903,133,1624,378,73,44,1120,4,28,12,6
421570,2018,149,917,100,1598,201,59,52,1117,0,3,4,0
421570,2019,136,1284,87,2010,722,107,55,1509,0,28,1,5
421570,2020,74,916,60,1510,326,71,23,1434,0,10,6,67
421570,2021,186,1328,97,2235,537,26,50,1816,0,23,12,153
421570,2022,13,315,11,530,58,5,7,334,2,3,2,15
421575,2015,8,69,11,528,139,16,1,175,0,0,0,1
421575,2016,19,256,10,1129,492,105,0,170,0,0,2,1
421575,2017,21,219,4,542,253,0,1,251,1,0,2,0
421575,2018,2,204,3,644,230,5,3,310,0,0,0,0
421575,2019,3,165,40,662,269,14,1,246,0,0,0,0
421575,2020,3,116,8,302,124,0,1,190,1,2,0,0
421575,2021,13,210,16,368,170,3,7,217,0,0,0,0
421575,2022,2,12,0,17,1,0,0,23,0,0,0,0
421580,2015,117,1778,49,3787,65,6,33,1204,0,3,0,1
421580,2016,401,6669,296,13328,223,48,155,3681,3,45,4,359
421580,2017,494,5563,626,13015,1117,350,171,3945,1,69,1480,2435
421580,2018,546,5948,626,14220,2213,414,200,4987,0,18,2845,3271
421580,2019,457,5554,774,12488,1925,289,205,5941,0,11,3275,4246
421580,2020,314,3358,559,6731,857,100,83,4884,1,35,1531,2308
421580,2021,257,3908,454,8176,1794,184,87,4793,0,75,2522,3467
421580,2022,27,500,63,1125,234,18,15,757,0,26,215,427
421590,2016,4,39,15,146,8,11,1,75,0,0,1,0
421590,2017,21,46,39,183,8,9,3,134,0,0,2,0
421590,2018,197,142,36,161,68,35,1,1285,0,1,0,0
421590,2019,35,147,5,582,187,1,0,606,0,0,0,1
421590,2020,35,105,23,284,52,1,4,1691,0,0,16,6
421590,2021,48,1595,16,4844,148,2,8,1577,1,0,29,276
421590,2022,0,351,0,1518,1,1,2,90,0,0,8,16
421600,2015,11,158,31,1078,24,16,21,1266,1,0,193,384
421600,2016,18,277,27,1740,31,24,14,1924,2,0,226,200
421600,2017,24,203,15,1026,11,17,7,642,2,1,158,183
421600,2018,95,436,109,1747,78,41,33,1745,1,2,69,367
421600,2019,79,331,147,1506,36,9,22,1576,1,5,46,186
421600,2020,8,164,48,1014,11,23,15,603,5,1,52,249
421600,2021,155,210,20,1140,58,60,15,694,3,3,150,593
421600,2022,6,95,7,401,4,2,3,324,0,0,62,70
421605,2016,4,5,7,13,11,10,1,22,0,0,0,1
421605,2017,35,176,55,432,48,6,4,326,0,2,6,10
421605,2018,62,518,68,1401,121,2,4,1339,0,139,0,0
421605,2019,95,484,75,930,42,16,13,705,0,217,0,0
421605,2020,49,200,54,415,10,0,4,485,0,5,0,0
421605,2021,123,233,70,435,12,0,0,534,0,3,0,0
421605,2022,6,27,28,42,0,0,0,57,0,0,0,0
421610,2015,4,19,2,56,87,11,6,155,0,0,3,3
421610,2016,22,158,36,980,372,65,20,226,0,0,6,192
421610,2017,113,737,136,3662,1210,213,99,1975,1,0,103,144
421610,2018,281,635,118,4185,2020,341,105,3545,2,3,39,95
421610,2019,51,291,38,1035,260,26,70,1445,0,1,3,22
421610,2020,143,712,111,2380,336,64,64,1849,0,4,3,200
421610,2021,102,1412,153,3749,616,142,139,2777,1,2,21,412
421610,2022,18,211,49,683,135,43,18,750,0,0,0,92
421620,2015,2,63,1,134,5,0,0,32,0,0,0,0
421620,2016,42,780,28,1972,53,15,11,1253,1,2,0,1
421620,2017,62,1601,59,3780,78,49,17,3232,4,1,4,301
421620,2018,75,1246,75,3917,75,48,34,3309,4,12,15,259
421620,2019,41,617,34,1751,37,18,14,1019,1,17,9,397
421620,2020,71,1497,59,2346,88,22,10,4100,3,2,20,318
421620,2021,146,4561,123,8130,271,64,47,8517,1,7,80,1382
421620,2022,20,1309,35,2563,60,12,8,1052,0,2,16,170
421625,2015,2,89,13,197,232,4,0,571,0,0,393,334
421625,2016,228,627,150,3158,632,73,62,2972,0,0,624,573
421625,2017,103,527,137,2600,673,29,35,2361,0,2,403,513
421625,2018,101,522,129,2565,687,46,80,2474,9,0,254,472
421625,2019,100,462,115,1999,452,30,37,3539,7,2,250,433
421625,2020,24,351,47,1070,105,34,10,1994,4,0,280,296
421625,2021,44,420,19,1459,58,9,12,2454,3,4,40,21
421625,2022,2,47,4,241,4,3,9,602,0,0,0,0
421630,2014,188,1135,87,3193,446,172,76,4129,2,19,179,288
421630,2015,253,1411,154,4245,695,355,127,5479,2,41,313,466
421630,2016,284,1569,170,4743,864,338,116,5929,1,9,176,338
421630,2017,224,1161,111,3492,317,189,90,6432,5,10,242,240
421630,2018,154,1080,132,2977,479,201,50,4032,2,18,41,31
421630,2019,252,2197,214,4718,794,215,80,7580,2,29,76,91
421630,2020,319,2249,203,4827,344,189,105,8778,2,45,40,29
421630,2021,199,3155,128,5994,719,217,68,3977,10,42,20,17
421630,2022,14,333,25,571,99,15,15,599,0,16,2,2
421635,2015,14,141,12,445,62,29,4,749,0,18,133,229
421635,2016,10,415,28,1113,39,54,15,1204,0,38,263,417
421635,2017,11,384,16,877,21,54,6,882,0,4,152,250
421635,2018,10,193,23,562,21,6,7,916,0,0,171,329
421635,2019,13,188,17,409,108,6,5,1000,1,4,132,266
421635,2020,4,78,11,208,62,4,1,374,4,3,66,121
421635,2021,20,434,19,1111,68,30,6,1341,0,18,301,592
421635,2022,3,82,0,169,6,2,0,250,0,1,28,30
421640,2016,30,61,30,100,24,52,17,952,0,0,0,0
421640,2017,106,124,38,289,52,10,2,770,0,0,4,1
421640,2018,49,231,66,683,426,51,7,744,0,1,69,1
421640,2019,82,177,31,237,67,4,8,1648,0,0,8,0
421640,2020,18,266,13,349,60,56,3,740,0,0,22,1
421640,2021,141,936,48,1742,175,116,7,791,1,2,110,219
421640,2022,11,64,6,92,4,6,1,76,2,0,17,99
421650,2015,79,487,98,1593,220,82,30,727,3,0,17,21
421650,2016,145,806,159,2610,410,108,32,1260,5,0,72,99
421650,2017,120,776,141,2201,207,39,36,1406,11,2,52,65
421650,2018,171,610,84,1716,68,61,35,1562,2,0,35,28
421650,2019,311,846,163,2074,154,108,58,2116,2,5,24,26
421650,2020,109,593,112,1260,100,86,43,2142,4,7,112,343
421650,2021,165,902,230,1428,140,35,32,3594,5,4,226,641
421660,2014,48,8,0,0,0,0,1,0,0,0,0,0
421660,2015,63,310,24,484,25,24,1,626,0,3,6,23
421660,2016,2530,10958,986,22891,1993,1462,278,16023,2,71,966,2241
421660,2017,2254,10712,921,21670,2394,1197,338,18498,10,46,1032,2570
421660,2018,1638,10197,827,17833,2467,1619,352,17244,19,40,777,2175
421660,2019,1703,10977,777,18750,3264,1302,301,18495,17,75,405,2306
421660,2020,1107,8455,408,13311,1833,512,160,21400,22,45,726,4535
421660,2021,2254,27323,790,58259,4650,986,294,43138,37,169,2695,18202
421660,2022,269,6291,113,14327,473,137,33,6641,3,28,462,1806
421670,2015,2,76,14,280,21,19,12,241,0,2,50,237
421670,2016,54,503,95,1674,269,46,62,2918,32,29,266,1324
421670,2017,61,495,131,1811,467,53,52,3686,22,1,386,1732
421670,2018,31,228,50,1477,314,33,25,1161,12,2,160,619
421670,2019,19,194,33,1010,222,23,23,1288,13,6,130,486
421670,2020,69,351,75,1060,249,8,55,2576,15,12,12,8
421670,2021,138,617,147,1353,403,10,97,2026,6,0,2,1
421670,2022,11,64,32,269,50,2,7,329,0,0,0,0
421680,2015,12,35,3,69,2,8,2,332,0,0,0,1
421680,2016,36,116,34,178,23,21,5,489,0,0,1,1
421680,2017,167,358,70,1034,64,57,11,326,1,0,15,18
421680,2018,203,529,38,1819,40,25,15,1172,0,3,37,4
421680,2019,206,348,43,1100,53,73,16,1549,0,1,4,0
421680,2020,44,224,12,326,8,23,24,1060,0,0,1,0
421680,2021,64,149,75,218,10,18,13,1042,0,0,0,480
421680,2022,2,20,3,21,0,1,1,160,0,0,0,87
421690,2016,224,1365,161,4928,400,196,30,1769,0,29,313,687
421690,2017,180,1275,127,4657,335,237,93,5513,4,41,536,2023
421690,2018,154,1232,113,4262,708,239,50,7287,5,1,469,1840
421690,2019,285,2139,236,5715,1325,362,146,11683,8,44,953,3419
421690,2020,387,1864,144,2644,638,142,64,8197,0,9,269,752
421690,2021,177,1373,83,1820,583,88,41,4172,0,30,147,974
421690,2022,33,202,16,392,85,41,7,568,0,1,4,10
421700,2014,0,0,0,0,0,0,0,2,0,0,0,0
421700,2015,51,185,8,401,23,14,5,2824,0,0,0,20
421700,2016,18,174,14,343,54,168,5,2320,0,0,1,6
421700,2017,18,312,9,366,67,87,16,476,0,0,3,0
421700,2018,38,361,20,637,135,136,15,2703,3,5,29,79
421700,2019,65,648,37,1690,300,160,17,6031,1,7,131,245
421700,2020,30,499,13,1780,247,77,21,6112,1,44,33,155
421700,2021,168,4169,28,13304,388,23,39,5347,7,41,531,2032
421700,2022,4,898,1,2478,36,0,3,300,0,0,1,210
421710,2016,21,49,7,124,33,42,5,294,0,0,14,4
421710,2017,17,30,6,102,7,8,3,303,0,1,13,32
421710,2018,0,4,1,4,2,1,0,30,0,0,120,158
421710,2019,18,59,24,300,26,5,7,1139,0,0,70,134
421710,2020,28,98,20,599,17,3,8,2865,0,0,27,49
421710,2021,21,191,28,698,80,14,19,1763,0,2,7,18
421710,2022,3,33,1,48,4,2,0,114,0,0,0,4
421715,2015,50,34,14,24,7,34,10,110,1,0,0,74
421715,2016,126,158,22,481,29,77,43,327,0,0,2,747
421715,2017,30,36,17,114,18,20,11,329,1,0,0,0
421715,2018,46,137,13,374,26,14,41,364,4,0,0,1
421715,2019,43,133,22,384,174,6,24,569,2,0,0,0
421715,2020,22,311,8,599,262,3,31,196,0,1,0,0
421715,2021,37,332,61,615,213,21,28,568,0,0,0,206
421715,2022,0,22,0,54,16,1,1,55,0,0,0,23
421720,2015,123,436,142,1410,307,121,39,1242,2,5,461,356
421720,2016,331,836,357,2468,837,213,104,3818,16,18,526,439
421720,2017,346,1287,438,3805,857,267,140,6713,4,6,699,741
421720,2018,405,854,327,3034,1239,230,106,6374,15,19,464,632
421720,2019,304,1251,313,3400,1453,390,172,7771,17,12,623,843
421720,2020,230,1271,198,3815,884,159,129,5444,2,4,170,123
421720,2021,242,2161,258,6656,926,91,101,4865,3,7,81,30
421720,2022,28,390,46,1101,182,16,13,671,1,5,18,3
421725,2014,10,64,2,96,31,5,0,77,0,0,4,444
421725,2015,61,227,13,555,26,36,6,264,0,0,1,248
421725,2016,38,145,6,231,28,16,4,292,0,10,0,0
421725,2017,18,105,3,139,18,10,7,376,0,3,1,33
421725,2018,26,77,12,163,21,29,4,261,0,6,9,1
421725,2019,133,193,30,415,52,45,56,583,1,0,42,4
421725,2020,40,131,9,340,12,16,20,635,1,3,18,15
421725,2021,42,195,22,384,45,14,26,429,1,1,13,2
421725,2022,8,26,0,38,3,4,1,90,1,1,3,0
421730,2016,15,34,33,253,17,22,13,136,19,0,670,700
421730,2017,10,67,16,252,56,20,3,166,0,3,663,740
421730,2018,5,248,27,903,159,72,15,189,0,1,1439,1583
421730,2019,20,316,27,1307,592,106,32,2623,0,4,824,977
421730,2020,20,187,9,603,439,25,19,10240,1,6,456,612
421730,2021,93,425,20,1447,316,25,50,5761,0,0,68,229
421730,2022,10,108,3,208,8,2,14,279,0,0,3,38
421740,2015,40,289,11,875,29,11,12,420,0,2,0,15
421740,2016,228,954,79,2475,163,53,28,2202,0,6,55,69
421740,2017,497,711,148,1739,624,166,52,3294,2,9,63,104
421740,2018,714,536,287,1765,1028,316,52,3596,0,2,124,219
421740,2019,472,524,224,1486,676,235,34,3233,3,2,85,75
421740,2020,68,638,54,1676,271,101,75,2826,1,4,115,263
421740,2021,225,1758,105,4058,751,99,113,6845,0,18,606,1115
421740,2022,20,207,13,576,110,15,11,868,1,1,35,135
421750,2014,0,2,0,0,0,0,0,0,0,0,0,0
421750,2015,0,4,1,4,7,0,0,20,0,0,0,1
421750,2016,0,31,0,19,89,0,1,623,0,0,4,0
421750,2017,327,245,146,172,131,9,1,198,0,0,0,0
421750,2018,0,15,2,15,87,0,0,394,0,0,0,0
421750,2019,20,111,12,105,62,8,7,579,0,1,230,80
421750,2020,13,208,24,352,86,10,18,1394,0,1,76,19
421750,2021,59,451,39,1023,88,11,9,2479,2,0,145,195
421750,2022,2,48,6,162,15,0,1,219,0,0,21,31
421755,2014,0,0,0,0,13,0,0,0,0,0,0,0
421755,2015,0,12,0,10,3,1,4,35,0,0,0,0
421755,2016,74,157,46,545,55,11,17,663,1,2,191,865
421755,2017,50,237,82,589,84,40,13,547,0,2,7,6
421755,2018,18,136,52,188,129,3,4,522,0,2,1,0
421755,2019,25,138,31,320,137,9,4,618,1,0,2,0
421755,2020,31,204,35,524,148,6,9,434,0,0,0,2
421755,2021,42,468,76,1352,238,41,14,544,3,14,0,24
421755,2022,10,77,10,298,45,9,2,69,0,1,0,0
421760,2015,5,25,1,46,6,0,1,36,0,1,0,4
421760,2016,349,1097,135,3053,1452,457,90,3280,0,7,401,466
421760,2017,231,822,117,1989,874,120,18,2151,0,5,200,206
421760,2018,220,938,88,1986,713,190,40,1999,0,11,57,73
421760,2019,141,731,72,824,307,115,26,1817,4,14,71,72
421760,2020,130,617,85,900,252,51,25,1351,0,2,2,3
421760,2021,99,918,66,2376,309,60,20,912,0,3,38,0
421760,2022,9,64,9,204,50,4,4,118,0,7,0,0
421770,2015,34,212,32,839,105,24,34,2346,0,0,0,1
421770,2016,147,658,66,1868,197,52,24,2769,0,3,38,60
421770,2017,189,924,109,2073,325,161,28,3138,2,0,28,18
421770,2018,383,1623,208,4439,500,193,46,6961,1,2,707,1965
421770,2019,311,1755,323,3637,1349,155,36,6099,0,0,775,2773
421770,2020,175,1188,113,1993,466,80,35,5880,0,0,761,1798
421770,2021,387,1982,215,2638,586,99,55,10555,0,1,1055,1574
421770,2022,25,330,51,239,55,10,6,1143,0,0,83,104
421775,2015,0,1,0,2,4,0,0,0,0,0,0,0
421775,2017,22,233,113,739,229,52,9,389,2,36,1,2
421775,2018,25,335,96,761,301,98,29,811,0,8,4,91
421775,2019,40,352,160,779,147,52,25,567,0,0,33,207
421775,2020,26,295,38,499,193,30,3,283,5,17,5,59
421775,2021,52,591,85,1378,227,50,59,384,3,2,26,62
421775,2022,12,168,9,281,30,5,6,97,1,0,9,19
421780,2016,351,1393,89,4119,795,52,24,7818,4,18,690,3231
421780,2017,49,575,26,1162,421,31,11,3000,3,2,450,1294
421780,2018,197,1307,75,2671,101,32,45,6244,1,8,568,1893
421780,2019,205,1037,99,2363,452,108,33,4597,0,3,368,1305
421780,2020,34,415,17,881,111,12,8,1961,0,0,92,243
421780,2021,59,1949,88,5816,332,50,44,3605,4,0,357,1645
421780,2022,14,136,21,375,40,19,2,276,1,0,89,143
421790,2016,14,459,8,1270,536,29,55,779,0,0,70,726
421790,2017,35,1034,127,4457,1607,507,151,4351,3,5,186,1626
421790,2018,74,328,77,1080,229,103,150,1606,0,0,22,10
421790,2019,88,668,97,2242,530,132,189,2246,1,12,64,55
421790,2020,35,522,60,1721,291,58,61,2028,0,5,2,54
421790,2021,33,664,56,2241,383,68,285,2048,0,1,16,59
421790,2022,7,148,16,486,69,19,49,193,0,0,0,7
421795,2015,10,83,69,247,34,30,7,389,0,0,92,29
421795,2016,12,93,89,312,16,8,5,331,2,4,119,34
421795,2017,9,118,155,394,21,101,9,256,0,0,25,0
421795,2018,9,98,125,235,102,33,39,638,3,0,0,59
421795,2019,47,357,99,325,190,18,34,980,0,15,0,59
421795,2020,33,226,117,528,156,11,39,516,0,3,2,29
421795,2021,29,621,88,1334,355,12,26,754,0,3,2,50
421795,2022,7,75,5,151,45,0,0,129,0,0,0,14
421800,2015,2,44,2,219,2,0,0,240,0,0,0,0
421800,2016,259,1779,123,7266,117,13,22,4725,19,53,74,52
421800,2017,164,1042,102,4269,135,126,43,6314,0,35,239,369
421800,2018,59,631,84,1640,91,473,19,3733,0,60,99,242
421800,2019,49,735,56,1691,236,352,20,2638,0,32,128,166
421800,2020,35,572,37,1183,196,27,17,2369,1,16,106,154
421800,2021,87,4318,96,10674,279,59,29,6975,0,23,528,2105
421800,2022,7,1334,19,3317,37,6,6,1081,0,3,62,295
421810,2017,114,212,12,1099,158,131,5,1471,2,5,11,13
421810,2018,395,928,108,2819,711,353,58,4756,0,4,11,0
421810,2019,130,324,93,1186,134,34,16,1921,0,0,75,1
421810,2020,56,294,61,427,62,35,23,947,0,0,32,42
421810,2021,30,661,21,537,26,3,20,464,0,0,57,331
421810,2022,4,21,13,29,13,6,6,99,0,1,18,58
421820,2015,44,581,29,1240,16,75,11,1973,0,1,6,0
421820,2016,366,4021,329,9665,219,688,123,13103,14,12,7,5
421820,2017,394,3016,301,7620,510,481,69,10444,8,29,621,1102
421820,2018,572,2114,310,5472,699,297,65,8884,2,7,1231,2051
421820,2019,286,1341,264,3075,578,296,48,7645,4,39,889,1455
421820,2020,225,1336,242,3378,558,254,85,6373,0,68,655,961
421820,2021,279,1619,246,4343,675,209,65,8745,1,44,1273,1836
421820,2022,35,248,25,695,63,16,5,1134,0,5,110,158
421825,2016,29,235,29,949,51,8,3,779,0,0,0,21
421825,2017,47,220,20,548,112,26,2,800,0,0,2,24
421825,2018,7,104,11,260,58,15,4,509,0,0,7,31
421825,2019,44,105,22,262,36,52,17,738,0,0,6,15
421825,2020,26,119,18,335,42,79,7,963,0,0,1,39
421825,2021,51,251,45,448,57,76,17,991,0,0,0,13
421825,2022,9,13,6,25,9,5,1,75,0,0,1,0
421830,2014,53,250,43,879,14,106,32,334,0,1,21,21
421830,2015,445,2550,529,6900,770,647,121,3910,10,8,81,59
421830,2016,531,2541,600,6911,788,649,89,4948,5,11,56,29
421830,2017,413,3314,551,8061,885,635,122,5850,13,19,150,134
421830,2018,799,3129,667,7167,625,549,153,4933,22,12,81,97
421830,2019,1824,3161,577,6536,568,409,176,5665,26,27,103,188
421830,2020,214,2392,264,4338,425,129,59,2753,23,13,48,66
421830,2021,213,2691,205,5786,870,241,78,2946,14,3,51,96
421830,2022,16,235,21,535,123,17,3,299,0,1,3,6
421835,2016,96,631,70,1697,265,66,10,3662,2,0,438,828
421835,2017,58,546,84,1747,912,153,97,1389,0,0,580,1056
421835,2018,24,149,17,575,438,43,34,1022,1,0,385,789
421835,2019,11,82,6,144,190,7,2,265,0,0,270,462
421835,2020,109,574,52,675,124,62,5,527,1,7,416,702
421835,2021,23,1100,13,1701,279,12,12,232,0,0,322,454
421835,2022,3,37,4,33,30,1,1,12,0,0,11,11
421840,2014,0,2,0,8,0,0,0,0,0,0,0,0
421840,2015,4,19,8,56,32,0,1,42,0,0,3,6
421840,2016,6,13,1,21,5,0,0,11,0,0,0,86
421840,2017,4,93,0,83,5,28,0,546,0,0,23,319
421840,2018,6,159,12,311,6,6,2,1029,3,2,68,169
421840,2019,20,207,9,292,5,22,7,2378,1,4,100,130
421840,2020,5,218,4,281,12,7,4,2422,0,3,28,85
421840,2021,31,1967,13,5948,38,15,22,5232,1,1,134,302
421840,2022,3,415,2,1290,3,2,0,461,0,3,1,7
421850,2015,13,111,17,480,18,15,2,74,0,1,1,6
421850,2016,94,177,21,221,27,25,17,1035,0,0,7,0
421850,2017,35,76,11,103,33,12,3,975,0,0,1,3
421850,2018,56,141,43,355,31,63,3,1022,0,5,17,150
421850,2019,67,197,39,519,66,89,11,1143,1,1,12,188
421850,2020,23,137,12,267,19,15,10,313,0,2,11,2
421850,2021,56,444,22,591,44,27,9,487,0,0,1,0
421850,2022,12,58,2,54,13,4,10,133,0,0,10,16
421860,2016,41,469,138,1307,153,43,31,727,1,2,1,0
421860,2017,89,691,158,1814,757,137,40,4337,0,6,391,865
421860,2018,78,493,199,1405,206,59,44,1688,3,1,4,105
421860,2019,86,477,104,1274,184,47,45,1710,0,3,5,0
421860,2020,82,357,58,995,72,20,21,1543,0,5,0,2
421860,2021,78,447,41,1065,93,28,20,1575,0,1,17,0
421860,2022,3,67,6,136,9,1,1,136,0,0,4,2
421870,2015,997,5052,693,12015,1746,831,230,18585,1,97,1466,1547
421870,2016,1826,8828,1222,19315,2843,1244,353,35398,6,44,2291,2311
421870,2017,1718,8855,1260,18449,3058,1566,394,33805,4,22,2021,1964
421870,2018,1544,7748,1174,16347,2789,1196,290,32706,0,41,1945,1944
421870,2019,1699,8087,1146,16947,2676,1345,317,31358,3,32,1653,1652
421870,2020,904,4728,474,7742,911,271,113,14851,4,16,105,60
421870,2021,913,5470,486,7223,1065,163,116,8196,1,44,177,45
421870,2022,78,557,65,614,30,20,13,741,0,4,13,14
421875,2015,4,31,18,155,58,0,2,161,1,3,24,41
421875,2016,26,154,61,754,4,30,10,1711,19,25,346,460
421875,2017,99,410,81,1153,356,41,58,2022,4,21,72,70
421875,2018,95,493,55,1507,216,21,94,1449,1,2,2,47
421875,2019,164,654,133,2088,241,38,99,2070,0,0,4,42
421875,2020,67,521,85,1268,161,33,67,2465,2,0,3,31
421875,2021,84,492,80,1322,199,30,54,1023,0,0,201,214
421875,2022,8,76,20,175,13,0,5,148,0,0,13,12
421880,2016,20,37,32,130,18,3,5,413,0,0,11,67
421880,2017,57,341,32,780,104,143,24,559,0,0,22,55
421880,2018,42,373,52,1248,81,390,66,1188,0,0,51,100
421880,2019,253,730,29,1599,132,81,77,3129,0,8,15,50
421880,2020,89,251,15,541,63,68,16,1284,0,0,27,17
421880,2021,131,715,65,1135,144,52,24,2280,0,4,34,405
421880,2022,2,22,0,13,4,1,0,244,0,0,4,29
421885,2015,0,3,5,30,1,5,0,114,2,1,18,57
421885,2016,31,65,66,315,166,20,30,696,7,1,10,142
421885,2017,8,45,42,71,150,15,10,552,2,1,1,75
421885,2018,15,58,17,561,24,15,16,646,0,0,1,3
