COD_IBGE,Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
420285,Braço do Trombudo (SC),3599,3627,3654,3682,3709,3718,3743,3769,3794
420287,Brunópolis (SC),2741,2690,2639,2589,2539,2473,2420,2368,2318
420290,Brusque (SC),116634,119719,122775,125810,128818,131703,134723,137689,140597
420300,Caçador (SC),74276,75048,75812,76571,77323,77863,78595,79313,80017
420310,Caibi (SC),6274,6259,6243,6228,6213,6167,6148,6130,6112
420315,Calmon (SC),3416,3407,3398,3389,3380,3357,3346,3335,3325
420320,Camboriú (SC),70068,72261,74434,76592,78731,80834,82989,85105,87179
420325,Capão Alto (SC),2711,2682,2654,2625,2597,2556,2525,2496,2467
420330,Campo Alegre (SC),11972,11982,11992,12002,12012,11974,11978,11981,11985
420340,Campo Belo do Sul (SC),7419,7358,7297,7237,7177,7081,7016,6952,6889
420350,Campo Erê (SC),9203,9098,8993,8890,8787,8636,8526,8418,8312
420360,Campos Novos (SC),34386,34721,35054,35383,35710,35930,36244,36556,36861
420370,Canelinha (SC),11286,11452,11617,11781,11944,12080,12240,12398,12553
420380,Canoinhas (SC),53969,54079,54188,54296,54403,54319,54401,54480,54558
420390,Capinzal (SC),21726,21928,22129,22327,22524,22658,22848,23035,23218
420395,Capivari de Baixo (SC),23018,23342,23663,23982,24298,24559,24871,25177,25477
420400,Catanduvas (SC),10112,10244,10374,10503,10632,10735,10861,10984,11106
420410,Caxambu do Sul (SC),4208,4118,4028,3939,3850,3735,3642,3551,3462
420415,Celso Ramos (SC),2792,2784,2776,2768,2760,2738,2728,2719,2709
420417,Cerro Negro (SC),3472,3417,3362,3308,3254,3181,3124,3068,3013
420419,Chapadão do Lageado (SC),2871,2892,2912,2933,2953,2969,2988,3006,3025
420420,Chapecó (SC),198188,202009,205795,209553,213279,216654,220367,224013,227587
420425,Cocal do Sul (SC),15860,16009,16156,16301,16446,16544,16684,16821,16956
420430,Concórdia (SC),71499,72073,72642,73206,73766,74106,74641,75167,75683
420435,Cordilheira Alta (SC),4043,4114,4184,4253,4321,4385,4453,4520,4585
420440,Coronel Freitas (SC),10272,10236,10201,10165,10130,10022,9981,9940,9900
420445,Coronel Martins (SC),2520,2527,2534,2541,2548,2544,2549,2555,2560
420450,Corupá (SC),14716,14925,15132,15337,15541,15709,15909,16107,16300
420455,Correia Pinto (SC),14301,14063,13826,13591,13358,13040,12795,12553,12315
420460,Criciúma (SC),202395,204667,206918,209153,211369,213023,215186,217311,219393
420470,Cunha Porã (SC),10905,10944,10982,11020,11057,11053,11086,11118,11150
420475,Cunhataí (SC),1931,1937,1943,1949,1955,1957,1962,1967,1972
420480,Curitibanos (SC),38890,39061,39231,39399,39566,39595,39745,39893,40037
420490,Descanso (SC),8612,8558,8505,8452,8399,8308,8250,8192,8136
420500,Dionísio Cerqueira (SC),15227,15283,15339,15395,15450,15450,15498,15545,15592
420510,Dona Emma (SC),3912,3955,3997,4039,4081,4105,4146,4186,4224
420515,Doutor Pedrinho (SC),3828,3883,3937,3990,4043,4013,4064,4115,4164
420517,Entre Rios (SC),3118,3135,3151,3167,3183,3189,3203,3218,3232
420519,Ermo (SC),2081,2079,2078,2077,2076,2066,2063,2061,2059
420520,Erval Velho (SC),4448,4456,4464,4472,4480,4407,4412,4418,4423
420530,Faxinal dos Guedes (SC),10797,10784,10771,10758,10745,10686,10667,10649,10630
420535,Flor do Sertão (SC),1605,1603,1600,1597,1594,1586,1582,1579,1575
420540,Florianópolis (SC),453285,461524,469690,477798,485838,492977,500973,508826,516524
420543,Formosa do Sul (SC),2603,2589,2576,2562,2549,2525,2510,2495,2481
420545,Forquilhinha (SC),24256,24694,25129,25560,25988,26368,26793,27211,27621
420550,Fraiburgo (SC),35618,35781,35942,36102,36261,36299,36443,36584,36723
420555,Frei Rogério (SC),2354,2301,2249,2197,2146,2077,2023,1970,1918
420560,Galvão (SC),3379,3297,3217,3137,3058,2956,2873,2791,2711
420570,Garopaba (SC),20024,20545,21061,21573,22082,22568,23078,23579,24070
420580,Garuva (SC),16081,16435,16786,17134,17479,17800,18145,18484,18816
420590,Gaspar (SC),62618,63826,65024,66213,67392,68465,69639,70793,71925
420600,Governador Celso Ramos (SC),13655,13801,13944,14087,14229,14333,14471,14606,14739
420610,Grão-Pará (SC),6418,6448,6478,6507,6537,6542,6569,6595,6621
420620,Gravatal (SC),11064,11148,11231,11313,11394,11423,11501,11577,11652
420630,Guabiruba (SC),20474,21046,21612,22174,22732,23272,23832,24382,24922
420640,Guaraciaba (SC),10492,10433,10374,10316,10259,10154,10090,10026,9964
420650,Guaramirim (SC),38851,39869,40878,41879,42872,43822,44819,45797,46757
420660,Guarujá do Sul (SC),5054,5076,5097,5118,5139,5141,5160,5178,5196
420665,Guatambú (SC),4746,4743,4739,4736,4733,4710,4704,4698,4692
420670,Herval d'Oeste (SC),21961,22083,22204,22324,22443,22495,22606,22714,22820
420675,Ibiam (SC),1973,1971,1970,1968,1967,1959,1957,1954,1952
420680,Ibicaré (SC),3359,3336,3313,3290,3268,3227,3202,3178,3154
420690,Ibirama (SC),18097,18255,18412,18567,18721,18802,18950,19096,19238
420700,Içara (SC),51416,52284,53145,53998,54845,55581,56421,57247,58055
420710,Ilhota (SC),13124,13309,13493,13676,13857,14005,14184,14359,14531
420720,Imaruí (SC),11301,11117,10933,10752,10571,10326,10135,9948,9764
420730,Imbituba (SC),42244,42708,43168,43624,44076,44412,44853,45286,45711
420740,Imbuia (SC),5946,5993,6040,6087,6133,6153,6197,6241,6284
420750,Indaial (SC),60433,61968,63489,65000,66497,67923,69425,70900,72346
420757,Iomerê (SC),2842,2861,2880,2899,2917,2927,2945,2962,2979
420760,Ipira (SC),4713,4675,4637,4599,4562,4486,4446,4406,4367
420765,Iporã do Oeste (SC),8714,8769,8823,8876,8930,8945,8996,9045,9093
420768,Ipuaçu (SC),7123,7193,7262,7331,7400,7448,7514,7579,7643
420770,Ipumirim (SC),7435,7467,7499,7530,7561,7565,7593,7620,7647
420775,Iraceminha (SC),4212,4175,4139,4103,4067,4015,3976,3938,3901
420780,Irani (SC),9948,10033,10118,10202,10285,10339,10419,10498,10575
420785,Irati (SC),2067,2046,2025,2004,1984,1952,1930,1909,1887
420790,Irineópolis (SC),10843,10916,10989,11061,11133,11155,11222,11289,11354
420800,Itá (SC),6420,6383,6347,6311,6275,6209,6169,6129,6091
420810,Itaiópolis (SC),21015,21139,21263,21385,21506,21556,21669,21780,21889
420820,Itajaí (SC),197809,201557,205271,208958,212615,215895,219536,223112,226617
420830,Itapema (SC),52923,55016,57089,59147,61187,63250,65312,67338,69323
420840,Itapiranga (SC),16107,16253,16398,16541,16683,16736,16872,17007,17139
420845,Itapoá (SC),16899,17521,18137,18749,19355,19963,20576,21177,21766
420850,Ituporanga (SC),23490,23777,24061,24343,24622,24812,25086,25355,25619
420860,Jaborá (SC),4057,4040,4023,4006,3990,3955,3936,3918,3899
420870,Jacinto Machado (SC),10677,10642,10608,10573,10539,10457,10416,10376,10337
420880,Jaguaruna (SC),18425,18704,18980,19254,19527,19755,20024,20288,20547
420890,Jaraguá do Sul (SC),156519,160143,163735,167300,170835,174158,177697,181173,184579
420895,Jardinópolis (SC),1721,1697,1672,1649,1625,1595,1570,1546,1520
420900,Joaçaba (SC),28398,28705,29008,29310,29608,29827,30118,30404,30684
420910,Joinville (SC),546981,554601,562151,569645,577077,583144,590466,597658,604708
420915,José Boiteux (SC),4837,4850,4862,4874,4887,4985,4997,5007,5019
420917,Jupiá (SC),2158,2150,2142,2134,2127,2110,2101,2092,2083
420920,Lacerdópolis (SC),2242,2244,2246,2249,2251,2245,2246,2247,2248
420930,Lages (SC),158961,158846,158732,158620,158508,157743,157544,157349,157158
420940,Laguna (SC),43979,44316,44650,44982,45311,45500,45814,46122,46424
420945,Lajeado Grande (SC),1488,1479,1470,1461,1453,1437,1427,1418,1408
420950,Laurentino (SC),6402,6500,6598,6694,6790,6875,6970,7063,7154
420960,Lauro Müller (SC),14841,14919,14996,15073,15149,15174,15244,15313,15380
420970,Lebon Régis (SC),12077,12091,12105,12119,12133,12099,12107,12115,12122
420980,Leoberto Leal (SC),3298,3258,3218,3179,3140,3083,3041,3000,2960
420985,Lindóia do Sul (SC),4674,4659,4644,4630,4615,4580,4563,4546,4530
420990,Lontras (SC),11005,11200,11393,11584,11774,11942,12130,12315,12497
421000,Luiz Alves (SC),11395,11653,11908,12162,12413,12609,12859,13107,13347
421003,Luzerna (SC),5698,5700,5701,5703,5705,5686,5685,5684,5683
421005,Macieira (SC),1831,1823,1815,1807,1799,1784,1775,1766,1757
421010,Mafra (SC),54708,55012,55313,55611,55907,56017,56292,56561,56825
421020,Major Gercino (SC),3375,3389,3402,3416,3429,3430,3442,3454,3465
421030,Major Vieira (SC),7782,7841,7899,7957,8015,8048,8103,8156,8209
421040,Maracajá (SC),6784,6873,6963,7051,7139,7207,7293,7378,7461
421050,Maravilha (SC),23602,23975,24345,24712,25076,25403,25762,26116,26463
421055,Marema (SC),2094,2046,1999,1952,1906,1846,1797,1750,1703
421060,Massaranduba (SC),15586,15806,16024,16240,16455,16704,16916,17125,17330
421070,Matos Costa (SC),2767,2729,2690,2652,2614,2560,2520,2480,2442
421080,Meleiro (SC),7085,7076,7066,7056,7047,7028,7015,7001,6989
421085,Mirim Doce (SC),2476,2450,2424,2399,2374,2336,2309,2283,2257
421090,Modelo (SC),4147,4158,4169,4181,4192,4200,4209,4218,4227
421100,Mondaí (SC),10877,11034,11189,11343,11496,11592,11742,11889,12034
421105,Monte Carlo (SC),9604,9650,9695,9740,9785,9824,9866,9906,9945
421110,Monte Castelo (SC),8478,8476,8475,8473,8471,8280,8275,8269,8263
421120,Morro da Fumaça (SC),16888,17052,17213,17373,17532,17642,17796,17947,18095
